text,polarity,magnitude
The professor thought it rude to say such a thing.,-1,0.9
Can you take notes for me during the professor's talk?,-1,0.3
The professor's speech was full of humor.,1,0
The professor's boring lecture put me to sleep.,-1,0.8
Our professor paid the bill for all of us.,-1,0.2
It was ordered that the classroom be put in order.,-1,0
Keep your classroom clean.,1,0.8
The classroom was full of pupils.,-1,0
The classroom has finally warmed up.,1,0.7
Line up the desks in the classroom.,1,0.1
It is the students' duty to clean their classrooms.,1,0.4
There is a tall man in the classroom.,1,0
Take off your hat when you enter a classroom.,-1,0.4
"As soon as he entered the classroom, our teacher burst into angry speech.",-1,0.4
I found that I had left my umbrella behind in the classroom.,1,0
There was an expensive camera left in the classroom.,-1,0.4
The children ran toward the classroom.,1,0
There were few students left in the classroom.,-1,0
There were few children in the classroom.,-1,0
There were some students in the classroom.,-1,0
There were few students remaining in the classroom.,-1,0.1
I wish our classroom were air-conditioned.,1,0.5
You must not make noises in the classroom.,-1,0.1
Do you eat it in the classroom?,-1,0.3
Your hat should not be worn in the classroom.,-1,0.7
Don't you talk in the classroom.,-1,0.9
Get out of the classroom.,-1,0
The teachers are trying to motivate their students.,-1,0.7
The teacher is likely to get angry with the students.,-1,0.1
The teacher often emphasizes that students should have courage.,1,0.4
The teacher exhorted his pupils to do well.,1,0.4
The teacher caught the student cheating on the examination.,-1,0.9
Teachers shouldn't fall back on their authority.,-1,0.9
Teachers should give their children the faith that tomorrow will be brighter and happier.,1,0.3
Teachers must understand children.,1,0
A teacher should never laugh at his students' mistakes.,-1,0.7
The teacher gave way to the students' demand.,-1,0.6
The teacher had to evaluate all the students.,1,0.2
"Teachers stimulate the students' interest, have them think, ask questions, and debate among themselves.",1,0.2
The teacher accused one of his students of being noisy in class.,-1,0.5
The teacher was worried by Tom's frequent absence from class.,1,0.4
Teachers should occasionally let their students blow off some steam.,-1,0.2
Teachers should treat all their students impartially.,1,0.5
"Although teachers give a lot of advice, students don't always take it.",-1,0.5
A teacher should never make fun of a pupil who makes a mistake.,-1,0.8
The salary of a teacher is lower than that of a lawyer.,-1,0
You should be respectful to your teachers.,-1,0.1
I intended to have been a teacher.,1,0
